sku_id,week_start,forecast_units,forecast_lower,forecast_upper
SKU0001,2025-09-01,172.5,120.7,241.5
SKU0001,2025-09-08,166.8,116.7,233.5
SKU0001,2025-09-15,177.1,124.0,248.0
SKU0001,2025-09-22,164.0,114.8,229.7
SKU0001,2025-09-29,157.3,110.1,220.2
SKU0001,2025-10-06,162.0,113.4,226.7
SKU0002,2025-09-01,176.5,123.6,247.1
SKU0002,2025-09-08,187.4,131.2,262.3
SKU0002,2025-09-15,186.5,130.5,261.1
SKU0002,2025-09-22,186.8,130.8,261.6
SKU0002,2025-09-29,184.3,129.0,258.0
SKU0002,2025-10-06,186.2,130.4,260.7
SKU0003,2025-09-01,15.6,10.9,21.8
SKU0003,2025-09-08,16.7,11.7,23.4
SKU0003,2025-09-15,15.4,10.7,21.5
SKU0003,2025-09-22,14.8,10.4,20.8
SKU0003,2025-09-29,16.5,11.5,23.0
SKU0003,2025-10-06,16.7,11.7,23.4
SKU0004,2025-09-01,140.3,98.2,196.5
SKU0004,2025-09-08,150.4,105.3,210.6
SKU0004,2025-09-15,144.3,101.0,202.0
SKU0004,2025-09-22,135.2,94.6,189.3
SKU0004,2025-09-29,140.1,98.1,196.2
SKU0004,2025-10-06,139.9,97.9,195.9
SKU0005,2025-09-01,135.2,94.7,189.4
SKU0005,2025-09-08,140.8,98.6,197.1
SKU0005,2025-09-15,144.8,101.3,202.7
SKU0005,2025-09-22,139.5,97.6,195.2
SKU0005,2025-09-29,140.1,98.0,196.1
SKU0005,2025-10-06,141.3,98.9,197.8
SKU0006,2025-09-01,83.5,58.4,116.9
SKU0006,2025-09-08,76.4,53.5,106.9
SKU0006,2025-09-15,75.5,52.8,105.7
SKU0006,2025-09-22,79.1,55.4,110.7
SKU0006,2025-09-29,78.6,55.0,110.1
SKU0006,2025-10-06,77.4,54.2,108.3
SKU0007,2025-09-01,201.7,141.2,282.3
SKU0007,2025-09-08,200.6,140.4,280.8
SKU0007,2025-09-15,192.5,134.8,269.6
SKU0007,2025-09-22,183.5,128.4,256.8
SKU0007,2025-09-29,187.4,131.2,262.3
SKU0007,2025-10-06,182.1,127.5,254.9
SKU0008,2025-09-01,128.8,90.1,180.2
SKU0008,2025-09-08,132.7,92.9,185.8
SKU0008,2025-09-15,126.9,88.8,177.6
SKU0008,2025-09-22,129.3,90.5,181.1
SKU0008,2025-09-29,129.4,90.6,181.2
SKU0008,2025-10-06,129.6,90.7,181.4
SKU0009,2025-09-01,245.4,171.8,343.6
SKU0009,2025-09-08,229.1,160.4,320.8
SKU0009,2025-09-15,254.5,178.2,356.4
SKU0009,2025-09-22,230.8,161.5,323.1
SKU0009,2025-09-29,227.0,158.9,317.9
SKU0009,2025-10-06,232.7,162.9,325.8
SKU0010,2025-09-01,255.5,178.8,357.7
SKU0010,2025-09-08,262.9,184.0,368.0
SKU0010,2025-09-15,269.3,188.5,377.1
SKU0010,2025-09-22,264.2,184.9,369.9
SKU0010,2025-09-29,263.0,184.1,368.2
SKU0010,2025-10-06,264.8,185.4,370.8
SKU0011,2025-09-01,45.3,31.7,63.5
SKU0011,2025-09-08,45.4,31.8,63.5
SKU0011,2025-09-15,43.6,30.5,61.0
SKU0011,2025-09-22,47.0,32.9,65.8
SKU0011,2025-09-29,45.8,32.1,64.1
SKU0011,2025-10-06,44.9,31.4,62.8
SKU0012,2025-09-01,127.8,89.4,178.8
SKU0012,2025-09-08,131.4,92.0,184.0
SKU0012,2025-09-15,139.8,97.9,195.7
SKU0012,2025-09-22,142.2,99.6,199.1
SKU0012,2025-09-29,135.3,94.7,189.4
SKU0012,2025-10-06,137.2,96.0,192.1
SKU0013,2025-09-01,30.0,21.0,42.0
SKU0013,2025-09-08,33.2,23.3,46.6
SKU0013,2025-09-15,28.8,20.2,40.3
SKU0013,2025-09-22,29.3,20.5,41.0
SKU0013,2025-09-29,30.3,21.2,42.5
SKU0013,2025-10-06,30.4,21.3,42.6
SKU0014,2025-09-01,61.9,43.3,86.7
SKU0014,2025-09-08,64.5,45.1,90.3
SKU0014,2025-09-15,63.4,44.4,88.8
SKU0014,2025-09-22,60.0,42.0,84.1
SKU0014,2025-09-29,65.2,45.6,91.2
SKU0014,2025-10-06,65.8,46.0,92.1
SKU0015,2025-09-01,53.0,37.1,74.2
SKU0015,2025-09-08,53.2,37.3,74.6
SKU0015,2025-09-15,49.6,34.7,69.4
SKU0015,2025-09-22,49.2,34.4,68.9
SKU0015,2025-09-29,51.3,35.9,71.8
SKU0015,2025-10-06,50.8,35.6,71.1
SKU0016,2025-09-01,12.4,8.7,17.4
SKU0016,2025-09-08,12.9,9.0,18.1
SKU0016,2025-09-15,14.6,10.2,20.4
SKU0016,2025-09-22,15.8,11.1,22.2
SKU0016,2025-09-29,15.2,10.6,21.2
SKU0016,2025-10-06,15.3,10.7,21.4
SKU0017,2025-09-01,244.9,171.5,342.9
SKU0017,2025-09-08,229.0,160.3,320.6
SKU0017,2025-09-15,236.4,165.5,331.0
SKU0017,2025-09-22,243.3,170.3,340.6
SKU0017,2025-09-29,227.5,159.3,318.5
SKU0017,2025-10-06,220.5,154.3,308.7
SKU0018,2025-09-01,70.1,49.1,98.2
SKU0018,2025-09-08,66.8,46.8,93.6
SKU0018,2025-09-15,66.0,46.2,92.5
SKU0018,2025-09-22,64.8,45.4,90.7
SKU0018,2025-09-29,66.6,46.7,93.3
SKU0018,2025-10-06,66.4,46.5,93.0
SKU0019,2025-09-01,195.2,136.7,273.3
SKU0019,2025-09-08,198.1,138.6,277.3
SKU0019,2025-09-15,200.6,140.4,280.8
SKU0019,2025-09-22,197.7,138.4,276.8
SKU0019,2025-09-29,197.9,138.5,277.1
