date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-07-04,SKU0001,523,150,20,555
2024-07-11,SKU0001,511,131,20,555
2024-07-18,SKU0001,578,118,20,555
2024-07-25,SKU0001,572,146,20,555
2024-08-01,SKU0001,528,116,20,555
2024-08-08,SKU0001,469,134,20,555
2024-08-15,SKU0001,468,126,20,555
2024-08-22,SKU0001,364,144,20,555
2024-08-29,SKU0001,381,131,20,555
2024-09-05,SKU0001,375,144,20,555
2024-09-12,SKU0001,378,125,20,555
2024-09-19,SKU0001,367,117,20,555
2024-09-26,SKU0001,388,125,20,555
2024-10-03,SKU0001,427,121,20,555
2024-10-10,SKU0001,432,144,20,555
2024-10-17,SKU0001,483,125,20,555
2024-10-24,SKU0001,527,116,20,555
2024-10-31,SKU0001,535,103,20,555
2024-11-07,SKU0001,560,133,20,555
2024-11-14,SKU0001,477,124,20,555
2024-11-21,SKU0001,486,123,20,555
2024-11-28,SKU0001,523,131,20,555
2024-12-05,SKU0001,572,118,20,555
2024-12-12,SKU0001,520,120,20,555
2024-12-19,SKU0001,589,138,20,555
2024-12-26,SKU0001,518,111,20,555
2025-01-02,SKU0001,466,124,20,555
2025-01-09,SKU0001,456,130,20,555
2025-01-16,SKU0001,394,117,20,555
2025-01-23,SKU0001,378,125,20,555
2025-01-30,SKU0001,342,117,20,555
2025-02-06,SKU0001,349,130,20,555
2025-02-13,SKU0001,441,120,20,555
2025-02-20,SKU0001,504,113,20,555
2025-02-27,SKU0001,581,139,20,555
2025-03-06,SKU0001,657,122,20,555
2025-03-13,SKU0001,744,136,20,555
2025-03-20,SKU0001,753,120,20,555
2025-03-27,SKU0001,819,121,20,555
2025-04-03,SKU0001,869,99,20,555
2025-04-10,SKU0001,824,129,20,555
2025-04-17,SKU0001,882,110,20,555
2025-04-24,SKU0001,896,119,20,555
2025-05-01,SKU0001,886,106,20,555
2025-05-08,SKU0001,932,122,20,555
2025-05-15,SKU0001,914,119,20,555
2025-05-22,SKU0001,966,135,20,555
2025-05-29,SKU0001,944,110,20,555
2025-06-05,SKU0001,921,109,20,555
2025-06-12,SKU0001,883,141,20,555
2025-06-19,SKU0001,906,118,20,555
2025-06-26,SKU0001,915,116,20,555
2025-07-03,SKU0001,874,136,20,555
2025-07-10,SKU0001,875,135,20,555
2025-07-17,SKU0001,803,122,20,555
2025-07-24,SKU0001,773,126,20,555
2025-07-31,SKU0001,784,120,20,555
2025-08-07,SKU0001,792,144,20,555
2025-08-14,SKU0001,751,131,20,555
2025-08-21,SKU0001,795,126,20,555
2025-08-28,SKU0001,685,133,20,555
2025-01-28,SKU0002,693,135,15,668
2025-02-04,SKU0002,773,141,15,668
2025-02-11,SKU0002,729,131,15,668
2025-02-18,SKU0002,706,124,15,668
2025-02-25,SKU0002,726,149,15,668
2025-03-04,SKU0002,587,144,15,668
2025-03-11,SKU0002,578,164,15,668
2025-03-18,SKU0002,647,151,15,668
2025-03-25,SKU0002,597,125,15,668
2025-04-01,SKU0002,585,129,15,668
2025-04-08,SKU0002,711,142,15,668
2025-04-15,SKU0002,629,129,15,668
2025-04-22,SKU0002,668,152,15,668
2025-04-29,SKU0002,601,122,15,668
2025-05-06,SKU0002,523,163,15,668
2025-05-13,SKU0002,396,138,15,668
2025-05-20,SKU0002,253,124,15,668
2025-05-27,SKU0002,181,150,15,668
2025-06-03,SKU0002,131,145,15,668
2025-06-10,SKU0002,25,149,15,668
2025-06-17,SKU0002,0,145,15,668
2025-06-24,SKU0002,0,165,15,668
2025-07-01,SKU0002,17,154,15,668
2025-07-08,SKU0002,94,151,15,668
2025-07-15,SKU0002,172,149,15,668
2025-07-22,SKU0002,170,158,15,668
2025-07-29,SKU0002,217,158,15,668
2025-08-05,SKU0002,305,149,15,668
2025-08-12,SKU0002,381,151,15,668
2025-08-19,SKU0002,422,149,15,668
2025-08-26,SKU0002,503,156,15,668
2024-05-17,SKU0003,71,7,10,32
2024-05-24,SKU0003,77,8,10,32
2024-05-31,SKU0003,79,15,10,32
2024-06-07,SKU0003,66,11,10,32
2024-06-14,SKU0003,63,7,10,32
2024-06-21,SKU0003,65,7,10,32
2024-06-28,SKU0003,69,7,10,32
2024-07-05,SKU0003,74,8,10,32
2024-07-12,SKU0003,78,5,10,32
2024-07-19,SKU0003,84,2,10,32
2024-07-26,SKU0003,80,9,10,32
2024-08-02,SKU0003,78,9,10,32
2024-08-09,SKU0003,86,7,10,32
2024-08-16,SKU0003,87,8,10,32
2024-08-23,SKU0003,96,7,10,32
2024-08-30,SKU0003,83,7,10,32
2024-09-06,SKU0003,71,2,10,32
2024-09-13,SKU0003,73,4,10,32
2024-09-20,SKU0003,68,7,10,32
2024-09-27,SKU0003,66,6,10,32
2024-10-04,SKU0003,62,2,10,32
2024-10-11,SKU0003,62,8,10,32
2024-10-18,SKU0003,63,3,10,32
2024-10-25,SKU0003,56,8,10,32
2024-11-01,SKU0003,66,5,10,32
2024-11-08,SKU0003,52,7,10,32
2024-11-15,SKU0003,36,6,10,32
2024-11-22,SKU0003,41,8,10,32
2024-11-29,SKU0003,42,2,10,32
2024-12-06,SKU0003,44,9,10,32
2024-12-13,SKU0003,46,9,10,32
2024-12-20,SKU0003,45,5,10,32
2024-12-27,SKU0003,14,7,10,32
2025-01-03,SKU0003,0,8,10,32
2025-01-10,SKU0003,0,5,10,32
2025-01-17,SKU0003,10,10,10,32
