date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-08-28,SKU0001,685,133,20,555
2025-08-26,SKU0002,503,156,15,668
2025-08-29,SKU0003,37,6,10,32
2025-08-29,SKU0004,501,102,14,391
2025-08-30,SKU0005,360,136,18,597
2025-08-27,SKU0006,121,69,20,298
2025-08-25,SKU0007,0,143,19,677
2025-08-25,SKU0008,67,107,19,425
2025-08-25,SKU0009,0,70,7,252
2025-08-28,SKU0010,771,140,17,697
2025-08-27,SKU0011,51,17,13,107
2025-08-25,SKU0012,63,34,6,133
2025-08-29,SKU0013,55,8,13,68
2025-08-28,SKU0014,130,28,9,106
2025-08-25,SKU0015,120,22,8,100
2025-08-27,SKU0016,37,5,10,30
2025-08-31,SKU0017,694,62,6,262
2025-08-26,SKU0018,171,37,14,131
2025-08-31,SKU0019,600,43,5,179
2025-08-26,SKU0020,222,47,15,148
2025-08-26,SKU0021,140,14,9,58
2025-08-27,SKU0022,390,83,8,364
2025-08-28,SKU0023,506,137,12,526
2025-08-29,SKU0024,0,238,16,1016
2025-08-30,SKU0025,865,103,15,333
2025-08-26,SKU0026,0,212,19,717
2025-08-30,SKU0027,604,113,11,479
2025-08-27,SKU0028,976,74,9,316
2025-08-25,SKU0029,289,28,11,127
2025-08-28,SKU0030,345,42,14,188
2025-08-27,SKU0031,1017,146,14,491
2025-08-29,SKU0032,1159,164,14,568
2025-08-26,SKU0033,434,138,19,386
2025-08-31,SKU0034,423,165,16,827
2025-08-28,SKU0035,43,111,16,504
2025-08-28,SKU0036,599,128,19,445
2025-08-27,SKU0037,96,49,7,188
2025-08-31,SKU0038,201,16,9,76
2025-08-26,SKU0039,192,113,12,404
2025-08-28,SKU0040,364,118,14,474
2025-08-31,SKU0041,290,136,17,590
2025-08-29,SKU0042,46,33,15,97
2025-08-26,SKU0043,108,22,10,97
2025-08-26,SKU0044,126,8,5,35
2025-08-29,SKU0045,545,85,11,388
2025-08-25,SKU0046,547,43,11,207
2025-08-30,SKU0047,12,132,15,636
2025-08-25,SKU0048,1240,62,5,237
2025-08-31,SKU0049,454,74,17,314
2025-08-27,SKU0050,469,120,20,480
2025-08-25,SKU0051,104,132,15,614
2025-08-28,SKU0052,360,232,20,1100
2025-08-25,SKU0053,424,147,16,554
2025-08-27,SKU0054,187,79,19,376
2025-08-26,SKU0055,175,103,17,408
2025-08-26,SKU0056,279,24,12,157
2025-08-27,SKU0057,77,55,18,212
2025-08-30,SKU0058,527,92,15,424
2025-08-29,SKU0059,535,97,10,419
2025-08-27,SKU0060,709,63,12,281
2025-08-25,SKU0061,0,247,18,1042
2025-08-27,SKU0062,451,65,15,326
2025-08-31,SKU0063,682,101,9,365
2025-08-28,SKU0064,889,130,19,483
2025-08-30,SKU0065,0,215,20,917
2025-08-26,SKU0066,29,12,20,81
2025-08-28,SKU0067,1590,87,9,365
2025-08-31,SKU0068,713,203,18,930
2025-08-28,SKU0069,718,76,8,302
2025-08-31,SKU0070,229,59,19,375
2025-08-28,SKU0071,185,35,7,113
2025-08-31,SKU0072,541,164,18,764
2025-08-30,SKU0073,601,88,7,394
2025-08-26,SKU0074,432,95,10,392
2025-08-30,SKU0075,1540,83,7,283
2025-08-31,SKU0076,551,82,17,338
2025-08-31,SKU0077,127,6,16,60
2025-08-30,SKU0078,708,99,17,594
2025-08-25,SKU0079,701,154,15,659
2025-08-29,SKU0080,87,25,13,88
2025-08-28,SKU0081,90,10,8,36
2025-08-30,SKU0082,1013,66,8,353
2025-08-30,SKU0083,188,47,18,174
2025-08-29,SKU0084,181,40,20,218
2025-08-28,SKU0085,121,3,7,39
2025-08-28,SKU0086,242,24,5,100
2025-08-27,SKU0087,0,61,15,282
2025-08-30,SKU0088,12,106,19,336
2025-08-25,SKU0089,543,25,6,78
2025-08-27,SKU0090,816,108,17,544
2025-08-31,SKU0091,287,45,11,206
2025-08-26,SKU0092,248,77,11,342
2025-08-29,SKU0093,1089,113,11,450
2025-08-28,SKU0094,147,20,5,60
2025-08-26,SKU0095,361,23,5,123
2025-08-28,SKU0096,547,49,11,157
2025-08-27,SKU0097,1327,233,18,878
2025-08-28,SKU0098,756,121,11,423
2025-08-25,SKU0099,773,38,8,191
2025-08-28,SKU0100,1643,59,7,390
2025-08-31,SKU0101,1418,56,7,224
2025-08-26,SKU0102,748,60,7,239
2025-08-30,SKU0103,127,20,13,64
2025-08-27,SKU0104,24,25,12,125
2025-08-27,SKU0105,1462,212,14,803
2025-08-27,SKU0106,372,47,10,200
2025-08-25,SKU0107,179,14,10,70
2025-08-30,SKU0108,78,35,15,124
2025-08-25,SKU0109,91,31,17,126
2025-08-27,SKU0110,565,40,6,147
2025-08-29,SKU0111,88,23,5,74
