sku_id,category,subcategory,forecast_avg_weekly,forecast_horizon_units,on_hand_units,on_order_units,lead_time_days,reorder_point,weeks_of_cover,stockout_risk,overstock_risk,risk_quadrant,recommended_action,sales_at_risk_rupees,capital_locked_rupees,revenue_at_stake
SKU0112,Small Appliances,Climate,357.75,2146.5,96,215,20,1138,0.26834381551362685,0.9897372457123466,0.0,Reorder Now,Raise a replenishment order before stock runs out.,7494577.0,0.0,7494577.0
SKU0026,Decor,Wall Art,284.1666666666667,1705.0,0,212,19,717,0.0,1.0,0.0,Reorder Now,Raise a replenishment order before stock runs out.,6143912.0,0.0,6143912.0
SKU0052,Furniture,Chairs,358.7,2152.2,360,232,20,1100,1.0036241984945637,0.7163585161674784,0.0,Reorder Now,Raise a replenishment order before stock runs out.,6009876.0,0.0,6009876.0
SKU0065,Decor,Rugs,273.68333333333334,1642.1,0,215,20,917,0.0,1.0,0.0,Reorder Now,Raise a replenishment order before stock runs out.,3840778.0,0.0,3840778.0
SKU0007,Furniture,Tables,191.29999999999998,1147.8,0,143,19,677,0.0,1.0,0.0,Reorder Now,Raise a replenishment order before stock runs out.,3310656.0,0.0,3310656.0
SKU0153,Small Appliances,Cleaning,336.21666666666664,2017.3,34,164,14,683,0.10112526644524861,0.9995470168053134,0.0,Reorder Now,Raise a replenishment order before stock runs out.,3032282.0,0.0,3032282.0
SKU0024,Small Appliances,Cleaning,316.18333333333334,1897.1,0,238,16,1016,0.0,0.964681565266834,0.0,Reorder Now,Raise a replenishment order before stock runs out.,2263220.0,0.0,2263220.0
SKU0047,Small Appliances,Cleaning,210.75,1264.5,12,132,15,636,0.05693950177935943,0.9751387878763238,0.0,Reorder Now,Raise a replenishment order before stock runs out.,2064557.0,0.0,2064557.0
SKU0191,Decor,Rugs,178.11666666666667,1068.7,117,196,19,690,0.6568728361560775,0.6465828218663858,0.0,Reorder Now,Raise a replenishment order before stock runs out.,2047770.0,0.0,2047770.0
SKU0087,Textiles,Cushions,127.0,762.0,0,61,15,282,0.0,1.0,0.0,Reorder Now,Raise a replenishment order before stock runs out.,2017232.0,0.0,2017232.0
SKU0035,Decor,Wall Art,194.3166666666667,1165.9,43,111,16,504,0.22128827515224286,0.9472721481374137,0.0,Reorder Now,Raise a replenishment order before stock runs out.,2001609.0,0.0,2001609.0
SKU0145,Small Appliances,Climate,172.3166666666667,1033.9,91,56,13,338,0.5280974949221394,0.8346489219270384,0.0,Reorder Now,Raise a replenishment order before stock runs out.,1120563.0,0.0,1120563.0
SKU0051,Textiles,Cushions,155.81666666666666,934.9,104,132,15,614,0.6674510642849503,0.5871864352934837,0.0,Reorder Now,Raise a replenishment order before stock runs out.,969068.0,0.0,969068.0
SKU0140,Small Appliances,Climate,106.28333333333335,637.7,142,85,20,369,1.3360514348439703,0.5464698115923058,0.0,Reorder Now,Raise a replenishment order before stock runs out.,897195.0,0.0,897195.0
SKU0008,Decor,Rugs,129.45000000000002,776.7,67,107,19,425,0.5175743530320587,0.7987874588475485,0.0,Reorder Now,Raise a replenishment order before stock runs out.,894211.0,0.0,894211.0
SKU0166,Furniture,Storage,159.25,955.5,24,79,11,340,0.15070643642072212,0.8824115848854682,0.0,Reorder Now,Raise a replenishment order before stock runs out.,808581.0,0.0,808581.0
SKU0120,Decor,Wall Art,232.26666666666665,1393.6,151,247,19,939,0.6501148105625718,0.6626929713338756,0.0,Reorder Now,Raise a replenishment order before stock runs out.,792036.0,0.0,792036.0
SKU0189,Decor,Wall Art,354.4166666666667,2126.5,118,189,11,792,0.33294145309193507,0.7427741260202846,0.0,Reorder Now,Raise a replenishment order before stock runs out.,766046.0,0.0,766046.0
