date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-07-04,SKU0001,43,332374.09,7729.63,0
2024-07-05,SKU0001,18,139133.34,7729.63,0
2024-07-06,SKU0001,5,38648.15,7729.63,0
2024-07-07,SKU0001,12,92755.56,7729.63,0
2024-07-08,SKU0001,10,77296.3,7729.63,0
2024-07-09,SKU0001,10,77296.3,7729.63,0
2024-07-10,SKU0001,21,162322.23,7729.63,0
2024-07-11,SKU0001,8,61837.04,7729.63,0
2024-07-12,SKU0001,0,0.0,7729.63,0
2024-07-13,SKU0001,15,115944.45,7729.63,0
2024-07-14,SKU0001,2,15459.26,7729.63,0
2024-07-15,SKU0001,18,139133.34,7729.63,0
2024-07-16,SKU0001,20,154592.6,7729.63,0
2024-07-17,SKU0001,20,154592.6,7729.63,0
2024-07-18,SKU0001,41,316914.83,7729.63,0
2024-07-19,SKU0001,17,131403.71,7729.63,0
2024-07-20,SKU0001,22,170051.86,7729.63,0
2024-07-21,SKU0001,3,23188.89,7729.63,0
2024-07-22,SKU0001,20,154592.6,7729.63,0
2024-07-23,SKU0001,29,224159.27,7729.63,0
2024-07-24,SKU0001,11,85025.93,7729.63,0
2024-07-25,SKU0001,42,324644.46,7729.63,0
2024-07-26,SKU0001,9,69566.67,7729.63,0
2024-07-27,SKU0001,18,139133.34,7729.63,0
2024-07-28,SKU0001,11,85025.93,7729.63,0
2024-07-29,SKU0001,38,293725.94,7729.63,0
2024-07-30,SKU0001,25,193240.75,7729.63,0
2024-07-31,SKU0001,23,177781.49,7729.63,0
2024-08-01,SKU0001,19,146862.97,7729.63,0
2024-08-02,SKU0001,13,100485.19,7729.63,0
2024-08-03,SKU0001,25,193240.75,7729.63,0
2024-08-04,SKU0001,25,193240.75,7729.63,0
2024-08-05,SKU0001,26,200970.38,7729.63,0
2024-08-06,SKU0001,18,139133.34,7729.63,0
2024-08-07,SKU0001,33,255077.79,7729.63,0
2024-08-08,SKU0001,23,177781.49,7729.63,0
2024-08-09,SKU0001,23,177781.49,7729.63,0
2024-08-10,SKU0001,30,231888.9,7729.63,0
2024-08-11,SKU0001,42,324644.46,7729.63,0
2024-08-12,SKU0001,5,38648.15,7729.63,0
2024-08-13,SKU0001,26,200970.38,7729.63,0
2024-08-14,SKU0001,2,15459.26,7729.63,0
2024-08-15,SKU0001,46,355562.98,7729.63,0
2024-08-16,SKU0001,46,355562.98,7729.63,0
2024-08-17,SKU0001,28,216429.64,7729.63,0
2024-08-18,SKU0001,23,177781.49,7729.63,0
2024-08-19,SKU0001,15,115944.45,7729.63,0
2024-08-20,SKU0001,28,216429.64,7729.63,0
2024-08-21,SKU0001,29,224159.27,7729.63,0
2024-08-22,SKU0001,17,131403.71,7729.63,0
2024-08-23,SKU0001,27,208700.01,7729.63,0
2024-08-24,SKU0001,26,200970.38,7729.63,0
2024-08-25,SKU0001,14,108214.82,7729.63,0
2024-08-26,SKU0001,14,108214.82,7729.63,0
2024-08-27,SKU0001,8,61837.04,7729.63,0
2024-08-28,SKU0001,27,208700.01,7729.63,0
2024-08-29,SKU0001,29,224159.27,7729.63,0
2024-08-30,SKU0001,16,123674.08,7729.63,0
2024-08-31,SKU0001,34,262807.42,7729.63,0
2024-09-01,SKU0001,17,131403.71,7729.63,0
2024-09-02,SKU0001,35,270537.05,7729.63,0
2024-09-03,SKU0001,31,239618.53,7729.63,0
2024-09-04,SKU0001,21,162322.23,7729.63,0
2024-09-05,SKU0001,16,123674.08,7729.63,0
2024-09-06,SKU0001,60,463777.8,7729.63,0
2024-09-07,SKU0001,16,123674.08,7729.63,0
2024-09-08,SKU0001,21,162322.23,7729.63,0
2024-09-09,SKU0001,23,177781.49,7729.63,0
2024-09-10,SKU0001,26,200970.38,7729.63,0
2024-09-11,SKU0001,10,77296.3,7729.63,0
2024-09-12,SKU0001,36,278266.68,7729.63,0
2024-09-13,SKU0001,26,200970.38,7729.63,0
2024-09-14,SKU0001,10,77296.3,7729.63,0
2024-09-15,SKU0001,35,270537.05,7729.63,0
2024-09-16,SKU0001,34,262807.42,7729.63,0
2024-09-17,SKU0001,9,69566.67,7729.63,0
2024-09-18,SKU0001,39,301455.57,7729.63,0
2024-09-19,SKU0001,26,200970.38,7729.63,0
2024-09-20,SKU0001,22,170051.86,7729.63,0
2024-09-21,SKU0001,28,216429.64,7729.63,0
2024-09-22,SKU0001,28,216429.64,7729.63,0
2024-09-23,SKU0001,16,123674.08,7729.63,0
2024-09-24,SKU0001,12,92755.56,7729.63,0
2024-09-25,SKU0001,23,177781.49,7729.63,0
2024-09-26,SKU0001,21,162322.23,7729.63,0
2024-09-27,SKU0001,23,177781.49,7729.63,0
2024-09-28,SKU0001,15,115944.45,7729.63,0
2024-09-29,SKU0001,20,154592.6,7729.63,0
2024-09-30,SKU0001,21,162322.23,7729.63,0
2024-10-01,SKU0001,6,46377.78,7729.63,0
2024-10-02,SKU0001,8,61837.04,7729.63,0
2024-10-03,SKU0001,26,200970.38,7729.63,0
2024-10-04,SKU0001,0,0.0,7729.63,0
2024-10-05,SKU0001,20,154592.6,7729.63,0
2024-10-06,SKU0001,15,115944.45,7729.63,0
2024-10-07,SKU0001,23,177781.49,7729.63,0
2024-10-08,SKU0001,18,139133.34,7729.63,0
2024-10-09,SKU0001,17,131403.71,7729.63,0
2024-10-10,SKU0001,17,131403.71,7729.63,0
2024-10-11,SKU0001,26,200970.38,7729.63,0
2024-10-12,SKU0001,31,239618.53,7729.63,0
2024-10-13,SKU0001,19,146862.97,7729.63,0
2024-10-14,SKU0001,28,216429.64,7729.63,0
2024-10-15,SKU0001,10,77296.3,7729.63,0
2024-10-16,SKU0001,26,200970.38,7729.63,0
2024-10-17,SKU0001,30,231888.9,7729.63,0
2024-10-18,SKU0001,20,154592.6,7729.63,0
2024-10-19,SKU0001,43,332374.09,7729.63,0
2024-10-20,SKU0001,7,54107.41,7729.63,0
2024-10-21,SKU0001,5,38648.15,7729.63,0
2024-10-22,SKU0001,11,85025.93,7729.63,0
2024-10-23,SKU0001,38,293725.94,7729.63,0
2024-10-24,SKU0001,21,162322.23,7729.63,0
2024-10-25,SKU0001,17,131403.71,7729.63,0
2024-10-26,SKU0001,9,69566.67,7729.63,0
2024-10-27,SKU0001,32,247348.16,7729.63,0
2024-10-28,SKU0001,8,61837.04,7729.63,0
2024-10-29,SKU0001,28,216429.64,7729.63,0
2024-10-30,SKU0001,55,425129.65,7729.63,0
2024-10-31,SKU0001,20,154592.6,7729.63,0
2024-11-01,SKU0001,21,162322.23,7729.63,0
2024-11-02,SKU0001,15,115944.45,7729.63,0
2024-11-03,SKU0001,3,23188.89,7729.63,0
2024-11-04,SKU0001,13,100485.19,7729.63,0
2024-11-05,SKU0001,14,108214.82,7729.63,0
2024-11-06,SKU0001,5,38648.15,7729.63,0
2024-11-07,SKU0001,29,224159.27,7729.63,0
2024-11-08,SKU0001,33,226966.09,6877.76,1
2024-11-09,SKU0001,32,220088.33,6877.76,1
2024-11-10,SKU0001,23,158188.49,6877.76,1
2024-11-11,SKU0001,39,268232.65,6877.76,1
