sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0001,Small Appliances,Climate,2024-07-04,3455.6,7729.63
SKU0002,Textile,Bedding,2025-01-28,3176.35,4935.21
SKU0003,Décor,Lighting,2024-05-17,3718.05,8077.98
SKU0004,Decor,Rugs,2024-07-12,2285.15,3374.21
SKU0005,Textiles,Bedding,2024-11-16,3068.64,5601.59
SKU0006,Textile,Throws,2024-12-18,899.36,1762.8
SKU0007,furniture,Tables,2023-12-18,2779.74,6375.93
SKU0008,Décor,Rugs,2025-05-26,1957.79,3186.04
SKU0009,FURNITURE,Storage,2024-07-29,1023.6,2255.79
SKU0010,Textile,Cushions,2024-11-14,1352.61,3244.52
SKU0011,textiles,Throws,2024-05-29,,2796.07
SKU0012,Furniture,Chairs,2025-03-17,3179.66,6988.32
SKU0013,Small Appliances,Kitchen,2025-02-28,1916.83,3991.78
SKU0014,FURNITURE,Chairs,2024-07-04,1963.72,4081.17
SKU0015,Small Appl.,Climate,2024-11-18,2281.28,4724.64
SKU0016,furniture,Chairs,2024-05-01,976.15,1845.15
SKU0017,Textile,Bedding,2024-02-11,374.47,650.7
SKU0018,small appliances,Kitchen,2023-11-28,3168.01,6960.68
SKU0019,Decor,Lighting,2025-03-23,792.85,1131.6
SKU0020,small appliances,Kitchen,2024-12-31,770.9,1542.77
SKU0021,Furniture,Tables,2024-12-31,1867.7,3468.74
SKU0022,small appliances,Kitchen,2024-10-30,487.45,751.46
SKU0023,Textile,Cushions,2025-05-29,2843.87,4888.74
SKU0024,Small Appl.,Cleaning,2024-03-01,1880.04,3246.25
SKU0025,FURNITURE,Tables,2025-05-24,1904.74,3129.18
SKU0026,Decor,Wall Art,2024-09-17,,7965.56
SKU0027,Small Appliances,Climate,2024-06-29,2565.14,5389.15
SKU0028,furniture,Tables,2025-02-12,310.21,618.18
SKU0029,decor,Lighting,2023-12-11,548.1,1153.85
SKU0030,textiles,Bedding,2025-07-24,1485.45,3132.96
SKU0031,Furniture,Chairs,2025-07-02,2006.87,4694.64
SKU0032,Décor,Wall Art,2024-12-13,3760.63,7844.95
SKU0033,decor,Rugs,2024-03-05,1426.54,2888.47
SKU0034,FURNITURE,Tables,2024-05-12,3600.22,5646.22
SKU0035,Decor,Wall Art,2023-11-16,2738.12,4757.43
SKU0036,Small Appl.,Climate,2025-06-19,564.8,1411.56
SKU0037,Furniture,Chairs,2023-09-27,2286.18,4218.25
SKU0038,Textiles,Throws,2025-07-06,3818.66,6679.22
SKU0039,Décor,Rugs,2024-02-27,3753.77,5996.76
SKU0040,decor,Wall Art,2025-07-10,3582.96,8234.82
SKU0041,Textiles,Bedding,2025-05-18,2147.6,3820.83
SKU0042,small appliances,Cleaning,2024-06-14,513.7,1179.53
SKU0043,Furniture,Chairs,2025-06-17,1077.74,1667.6
SKU0044,Furniture,Storage,2025-02-04,2457.62,6019.88
SKU0045,furniture,Chairs,2024-04-05,3143.01,8065.57
SKU0046,Furniture,Tables,2025-06-16,1034.18,1611.45
SKU0047,Small Appl.,Cleaning,2023-11-25,2099.37,4688.13
SKU0048,FURNITURE,Tables,2025-04-28,2904.32,6641.54
SKU0049,FURNITURE,Tables,2023-11-26,3721.12,6984.89
SKU0050,Décor,Wall Art,2024-08-21,3829.15,6677.02
SKU0051,Textile,Cushions,2023-09-18,2287.51,4942.78
SKU0052,furniture,Chairs,2025-02-06,3869.99,8186.0
SKU0053,Textile,Throws,2025-03-17,1949.42,4564.99
SKU0054,FURNITURE,Chairs,2024-03-20,,5403.15
SKU0055,Decor,Rugs,2024-10-29,3490.79,7413.49
SKU0056,Décor,Lighting,2025-06-10,2659.93,6492.86
SKU0057,decor,Lighting,2024-02-21,1061.15,2435.57
SKU0058,Furniture,Storage,2025-05-10,2438.57,3841.74
SKU0059,textiles,Bedding,2024-04-05,703.91,1763.41
SKU0060,Furniture,Chairs,2024-10-09,594.64,847.59
